article,image,price,product_name,specifications
0833038,https://s3.iautomatica.ru/iblock/e9c/4a8cd5e5-c4dd-11e8-8109-0cc47a73967f_dd8df69a-a95a-11ea-811a-0cc47a73967f.resize1.jpeg,334,Маркировка для клеммных модулей UM1-TM (5X12) BU," Минимальное количество поставки | 10 | Количество в упаковке | 10 | Артикул | 0833038 | Вес | 1 | Страна | Германия | ETIM | EC000761 | Дополнительное описание | Маркировка для клеммных модулей | Подробное описание материала 1 | Маркировка для клеммной колодки/ клеммного блока"
0833037,https://s3.iautomatica.ru/iblock/8c3/4a8cd5e3-c4dd-11e8-8109-0cc47a73967f_dd8df699-a95a-11ea-811a-0cc47a73967f.resize1.jpeg,334,Маркировка для клеммных модулей UM1-TM (5X12) YE," Минимальное количество поставки | 10 | Количество в упаковке | 10 | Артикул | 0833037 | Вес | 1 | Страна | Германия | ETIM | EC000761 | Дополнительное описание | Маркировка для клеммных модулей | Подробное описание материала 1 | Маркировка для клеммной колодки/ клеммного блока"
0833040,https://s3.iautomatica.ru/iblock/d30/4a8cd5e9-c4dd-11e8-8109-0cc47a73967f_dd8df69c-a95a-11ea-811a-0cc47a73967f.resize1.jpeg,334,Маркировка для клеммных модулей UM1-TM (6X10) RD," Минимальное количество поставки | 10 | Количество в упаковке | 10 | Артикул | 0833040 | Вес | 1 | Страна | Германия | ETIM | EC000761 | Дополнительное описание | Маркировка для клеммных модулей | Подробное описание материала 1 | Маркировка для клеммной колодки/ клеммного блока"
0833039,https://s3.iautomatica.ru/iblock/e4c/4a8cd5e7-c4dd-11e8-8109-0cc47a73967f_dd8df69b-a95a-11ea-811a-0cc47a73967f.resize1.jpeg,334,Маркировка для клеммных модулей UM1-TM (5X12) GN," Минимальное количество поставки | 10 | Количество в упаковке | 10 | Артикул | 0833039 | Вес | 1 | Страна | Германия | ETIM | EC000761 | Дополнительное описание | Маркировка для клеммных модулей | Подробное описание материала 1 | Маркировка для клеммной колодки/ клеммного блока"
0833048,https://s3.iautomatica.ru/iblock/3f8/4a8cd5f9-c4dd-11e8-8109-0cc47a73967f_e4fe3b0a-a95a-11ea-811a-0cc47a73967f.resize1.jpeg,334,Маркировка для клеммных модулей UM1U-TM (6X10) BU," Минимальное количество поставки | 10 | Количество в упаковке | 10 | Артикул | 0833048 | Вес | 1 | Страна | Германия | ETIM | EC000761 | Дополнительное описание | Маркировка для клеммных модулей | Подробное описание материала 1 | Маркировка для клеммной колодки/ клеммного блока"
0833036,https://s3.iautomatica.ru/iblock/a9e/50dc20ef-c4dd-11e8-8109-0cc47a73967f_e4fe3b20-a95a-11ea-811a-0cc47a73967f.resize1.jpeg,334,Маркировка для клеммных модулей UM1-TM (5X12) OG," Минимальное количество поставки | 10 | Количество в упаковке | 10 | Артикул | 0833036 | Вес | 1 | Страна | Германия | ETIM | EC000761 | Дополнительное описание | Маркировка для клеммных модулей | Подробное описание материала 1 | Маркировка для клеммной колодки/ клеммного блока"
0833045,https://s3.iautomatica.ru/iblock/dc3/4a8cd5f3-c4dd-11e8-8109-0cc47a73967f_e4fe3b07-a95a-11ea-811a-0cc47a73967f.resize1.jpeg,334,Маркировка для клеммных модулей UM1U-TM (6X10) RD," Минимальное количество поставки | 10 | Количество в упаковке | 10 | Артикул | 0833045 | Вес | 1 | Страна | Германия | ETIM | EC000761 | Дополнительное описание | Маркировка для клеммных модулей | Подробное описание материала 1 | Маркировка для клеммной колодки/ клеммного блока"
0833046,https://s3.iautomatica.ru/iblock/99e/4a8cd5f5-c4dd-11e8-8109-0cc47a73967f_e4fe3b08-a95a-11ea-811a-0cc47a73967f.resize1.jpeg,334,Маркировка для клеммных модулей UM1U-TM (6X10) OG," Минимальное количество поставки | 10 | Количество в упаковке | 10 | Артикул | 0833046 | Вес | 1 | Страна | Германия | ETIM | EC000761 | Дополнительное описание | Маркировка для клеммных модулей | Подробное описание материала 1 | Маркировка для клеммной колодки/ клеммного блока"
0833047,https://s3.iautomatica.ru/iblock/d4a/4a8cd5f7-c4dd-11e8-8109-0cc47a73967f_e4fe3b09-a95a-11ea-811a-0cc47a73967f.resize1.jpeg,334,Маркировка для клеммных модулей UM1U-TM (6X10) YE," Минимальное количество поставки | 10 | Количество в упаковке | 10 | Артикул | 0833047 | Вес | 1 | Страна | Германия | ETIM | EC000761 | Дополнительное описание | Маркировка для клеммных модулей | Подробное описание материала 1 | Маркировка для клеммной колодки/ клеммного блока"
0833049,https://s3.iautomatica.ru/iblock/b9a/4a8cd5fb-c4dd-11e8-8109-0cc47a73967f_e4fe3b0b-a95a-11ea-811a-0cc47a73967f.resize1.jpeg,334,Маркировка для клеммных модулей UM1U-TM (6X10) GN," Минимальное количество поставки | 10 | Количество в упаковке | 10 | Артикул | 0833049 | Вес | 1 | Страна | Германия | ETIM | EC000761 | Дополнительное описание | Маркировка для клеммных модулей | Подробное описание материала 1 | Маркировка для клеммной колодки/ клеммного блока"
0833025,https://s3.iautomatica.ru/iblock/c22/4a8cd5cb-c4dd-11e8-8109-0cc47a73967f_dd8df68d-a95a-11ea-811a-0cc47a73967f.resize1.jpeg,334,Маркировка для клеммных модулей UM1-TM (5X10) RD," Минимальное количество поставки | 10 | Количество в упаковке | 10 | Артикул | 0833025 | Вес | 1 | Страна | Германия | ETIM | EC000761 | Дополнительное описание | Маркировка для клеммных модулей | Подробное описание материала 1 | Маркировка для клеммной колодки/ клеммного блока"
2800246,https://s3.iautomatica.ru/iblock/855/96ad4c62-c4dd-11e8-8109-0cc47a73967f_c3e3eede-a95b-11ea-811a-0cc47a73967f.resize1.jpeg,7 512,"Базовый элемент для защиты от перенапряжений, тип 2 VAL-MS/2+0-BE/FM/S2"," Минимальное количество поставки | 1 | Количество в упаковке | 1 | Артикул | 2800246 | Вес | 1 | Страна | Германия | ETIM | EC000472 | Дополнительное описание | Базовый элемент для защиты от перенапряжений, тип 2 | Подробное описание материала 1 | Базовый элемент устройства защиты от избыточного напряжения"
2800116,https://s3.iautomatica.ru/iblock/f71/96ad4c60-c4dd-11e8-8109-0cc47a73967f_bc42be77-a95b-11ea-811a-0cc47a73967f.resize1.jpeg,64 559,"Молниезащитный разрядник, тип 1 FLT-PLUS"," Минимальное количество поставки | 1 | Количество в упаковке | 1 | Артикул | 2800116 | Вес | 1 | Страна | Германия | ETIM | EC000381 | Дополнительное описание | Комбинированный разрядник типа 1/2 | Подробное описание материала 1 | Разрядник для молниезащиты систем энергоснабжения"
2800103,https://s3.iautomatica.ru/iblock/e20/96ad4c5e-c4dd-11e8-8109-0cc47a73967f_bc42be73-a95b-11ea-811a-0cc47a73967f.resize1.jpeg,20 539,"Разрядник для защиты от импульсных перенапряжений, тип 2 VAL-MS 230/2+0"," Минимальное количество поставки | 1 | Количество в упаковке | 1 | Артикул | 2800103 | ETIM | EC000941 | Дополнительное описание | CL1321 | Подробное описание материала 1 | Устройство защиты от перенапряжения для систем энергоснабжения"
1019121,https://s3.iautomatica.ru/iblock/9b4/96ad4c2e-c4dd-11e8-8109-0cc47a73967f_bc42be6a-a95b-11ea-811a-0cc47a73967f.resize1.jpeg,6 567,"Штекерный модуль для защиты от перенапряжений, тип 2 VAL-MS 1000DC-PV-ST/4"," Минимальное количество поставки | 4 | Количество в упаковке | 4 | Артикул | 1019121 | Вес | 1 | Страна | Германия | ETIM | EC000941 | Дополнительное описание | Штекерный модуль для защиты от перенапряжений, тип 2 | Подробное описание материала 1 | Устройство защиты от перенапряжения для систем энергоснабжения"
2801636,https://s3.iautomatica.ru/iblock/3f9/9d09e030-c4dd-11e8-8109-0cc47a73967f_c3e3ef0b-a95b-11ea-811a-0cc47a73967f.resize1.jpeg,62 826,"Молниезащитный разрядник, тип 1 FLT 35 CTRL-4.0/I"," Минимальное количество поставки | 1 | Количество в упаковке | 1 | Артикул | 2801636 | Вес | 1 | Страна | Германия | ETIM | EC000381 | Дополнительное описание | Комбинированный разрядник типа 1/2 | Подробное описание материала 1 | Разрядник для молниезащиты систем энергоснабжения"
